stn_code,stn_delay_all,stn_delay_nowinter,stn_traff
ACND,110.130472474,97.5941888841,16
AHA,117.355193456,94.293088745,66
AYU,5.50029129427,3.71903280067,6
ABS,61.0789700665,47.5637262154,30
ABR,30.2568582751,25.3580070093,100
ULD,203.894569286,183.899370203,10
AH,123.289021465,93.3272046602,58
ADD,9.4637746603,8.72150697472,17
ADVI,61.2877862049,58.200613945,8
AAR,3.99539877301,4.09753066915,6
ABZ,13.5177885312,10.0917655606,8
ADTL,88.4829029273,80.2889832337,10
ADQ,11.2122726591,11.2677288694,10
ADST,5.17395053293,4.62697946661,65
ADB,12.4124300244,11.0728875195,18
ADF,27.3524161552,25.0532451374,16
AI,30.7318786391,32.6507812677,14
ADTP,20.3566587925,16.7935187044,33
AD,23.6466288764,19.3530502171,60
ADRA,24.7088340639,19.6797648178,107
ANDI,36.8953549784,26.7204181461,28
ADT,3.90374625936,3.1459542977,16
AGTL,190.950980392,126.997278912,14
AGD,80.3820639583,79.895590164,4
AWP,107.112881236,126.607814625,6
AGMN,3.1253968254,3.27307692308,8
AGY,100.907506671,96.2445825757,11
AGC,88.6207958942,59.2516292756,187
AGA,79.6481924738,64.7355110781,6
AF,173.334055821,125.000709829,66
AHLR,48.1171933454,48.5568328848,8
AHD,27.7121533378,27.6394251936,5
AHN,31.3273582438,16.0430902543,14
AHH,42.2984291111,29.9960297574,21
ANG,39.025667297,28.2467921053,63
AMP,24.0828544773,21.1143374961,48
ADI,33.7435212712,24.1971147206,299
ADIJ,9.49779173654,10.0263030784,6
ARW,152.518948088,130.230860759,6
ASH,54.9160284621,51.8539925159,7
AIT,112.151007714,104.516152651,25
ATMO,52.2524435767,52.8636981216,12
AJR,40.9592247622,38.9916219384,22
AJK,33.2824255588,35.4942332467,6
ANI,11.010484277,8.71585102317,12
AIA,43.1604937458,41.6114853695,6
AJ,91.6292844818,92.331031449,28
AJP,4.6962412194,4.17272811561,16
AII,51.9962519953,41.197124589,140
AJNI,19.971434097,18.0140473168,26
AJN,10.5346494658,9.85895481819,8
AKOR,27.3632928024,26.8761794135,12
AKT,27.3714195386,21.2995968379,45
AKE,14.1723050073,11.6448869087,24
AMY,9.49340439725,9.76136524105,8
AKJ,91.5313925601,88.4335637708,12
AKN,35.7669267898,33.2776855976,30
ABP,153.60794151,124.476813521,44
AKVD,13.238217437,12.2510745949,39
API,5.56252798819,5.59220029816,7
AKD,37.7884534189,36.7837473554,20
AK,34.4125321638,30.4540687489,133
AKR,60.7376836483,36.9437540157,6
AKOT,13.5177885312,10.0917655606,8
AYRN,125.67993648,106.449029295,18
AKRD,9.73065899935,7.68164051788,49
ALAI,13.3354043307,14.9896795633,4
ALJ,20.4826589595,16.7553956835,1
ALM,20.1218259501,20.0555962901,18
AMG,162.307864853,164.184259765,26
ALMR,4.27811267454,1.68901217088,16
ALPR,33.2824255588,35.4942332467,6
ALN,5.11283015178,5.41727293841,4
ALER,22.2466801684,18.0653136049,24
AIG,90.0721772755,102.582413147,10
ALB,10.0898462589,2.67756587547,10
ALJN,185.035380511,143.48461733,102
APD,20.6617063492,4.68629807692,12
APDJ,56.4113676912,36.9054904065,47
ALY,98.6538999658,78.6903480032,36
ALD,190.918165725,145.56985724,234
ALLP,30.3176832091,27.2241739734,69
AXR,39.3693197067,35.8476886923,6
LMT,11.0840294968,9.89046846624,18
LWR,10.3005611685,9.79015112753,30
ALNI,8.50197162566,8.2738981446,10
AUB,27.9021280135,21.3184854994,45
AWY,38.6486075871,34.1657280602,152
ALW,7.97542345608,7.2927052366,34
AWR,43.7506625476,35.9933109499,77
AGZ,82.3223400129,77.9656756757,2
AN,36.2626531162,23.9204527663,43
AML,9.02096690684,8.55162194028,26
ARD,14.6097162839,14.3782622144,14
AGR,19.0945151527,20.7002701198,10
AGL,10.3677189008,10.1208708709,6
APA,10.8288742354,11.3986300526,4
AMPR,1.34233486821,1.13159072403,4
AXA,4.66719085512,1.78362490451,7
AMS,91.6292844818,92.331031449,28
AADR,8.18695404863,4.16533342757,6
AGB,82.3223400129,77.9656756757,2
UMB,98.6151767741,71.962127695,276
UBC,74.020960999,59.7652086431,68
AMPA,35.6350204196,31.1769103421,32
ABLE,6.73969378539,7.58891642222,6
ABFC,13.7403509919,12.530807951,14
ABH,17.0526405119,11.93935636,226
ABSA,190.950980392,126.997278912,14
ASD,1.33716238833,1.5675469309,8
ABI,6.37449836633,6.33404056577,16
ABKA,6.81602342883,6.03059385135,59
AMBR,16.3842541286,7.06620966181,4
ABKP,7.64905618162,6.83520738541,10
ABD,5.25711193386,3.04648259441,6
UMN,26.8205253386,25.0074887621,18
AMB,25.9949499647,23.2524326747,27
AB,20.6597096301,15.9518941963,35
UDR,58.7388861153,54.0954775488,14
AME,131.434143712,115.900584465,60
AGN,29.1778081078,23.2610068102,29
AGI,11.7420259628,7.39488212595,14
AMLA,67.3096808843,48.6100560013,59
AAL,25.628259253,21.9142086457,24
AMX,13.5177885312,10.0917655606,8
AMLI,23.2475117442,19.620930728,7
ANB,32.3650406292,29.2892188087,20
