jn_code,jn_routes,jn_traffic,jn_delay
ABS,3,30,61.0789700665
AH,3,58,123.289021465
AMLA,3,59,67.3096808843
UDL,3,82,37.9910975492
AKV,3,89,19.121018533
ASN,3,282,83.84676243
BD,3,115,32.6741571319
BTC,3,13,2.30540554182
BRAG,3,26,19.0489644775
BRGA,3,51,29.5940035984
BHW,3,54,64.7953684652
BRYA,3,66,90.3325252299
BAT,3,26,57.2720756509
BH,3,152,20.3363074393
BIA,3,36,10.8325251442
BLDI,3,20,11.5700935707
BVRM,3,41,11.8827120806
BNW,3,44,23.6397320916
BPR,3,24,12.3842495018
BSP,3,163,32.7027297389
BKSC,3,72,60.4023339196
BRND,3,22,6.04417081733
BTD,3,32,23.2861859258
CSN,3,50,48.1608724456
CPH,3,70,27.2784348898
CNI,3,41,39.4162022976
CRP,3,63,51.9057273937
CGL,3,259,7.97186764595
CWA,3,13,61.2041764671
DWX,3,73,35.1657034013
DAS,3,14,9.55602405975
DLJ,3,31,22.7306709379
DHNE,3,77,26.9867140948
DKJ,3,45,37.1321440231
DURG,3,175,33.0937301456
FZR,3,68,22.1909853152
GDG,3,50,17.4269372792
GHD,3,48,103.101460148
GMO,3,84,115.366984922
GR,3,79,20.2613836836
GDV,3,70,11.3927811965
GDR,3,188,37.4602358346
GJD,3,12,40.5118328055
GJD,3,12,40.5118328055
GNT,3,104,20.3219520277
GHY,3,132,103.969672737
HJP,3,136,162.238785356
HG,3,29,19.9490363365
INDB,3,95,29.0434155218
JBP,3,181,63.3718468917
JM,3,30,15.7576066314
JM,3,30,15.7576066314
JL,3,145,49.2482717102
JMP,3,97,87.9664433643
JAM,3,52,51.3686073891
JKM,3,17,30.2070768235
JSME,3,167,86.0054590509
JNU,3,60,108.190876518
JHW,3,14,31.8592815274
JSG,3,120,33.2547211171
JU,3,111,37.3593297934
KYN,3,832,42.9275400137
CNB,3,388,176.927613481
KRA,3,12,67.4564996004
KZJ,3,121,44.7375618645
KAN,3,50,26.7398235523
KIUL,3,174,106.886263356
KRPU,3,16,18.440070952
KSB,3,40,14.2588977087
KSX,3,28,9.8059587237
KTV,3,35,22.86052098
LJR,3,16,26.1868303363
MDP,3,139,94.4505648601
MJRI,3,16,21.1156622969
MAGH,3,8,41.9423888383
MKP,3,85,87.25778151
MINA,3,6,25.2297430087
MUE,3,62,18.6818174564
MDJ,3,18,90.6609585703
NAB,3,13,9.23034587545
NAD,3,133,44.2672454108
NGP,3,259,46.4409172484
NYN,3,35,106.497558611
NYN,3,35,106.497558611
NHT,3,48,23.8350092018
NWP,3,32,16.8247374448
NVG,3,12,61.2041764671
NRL,3,83,7.83351566032
PC,3,33,53.5198740921
PNU,3,108,27.2158999297
PBN,3,82,18.039855055
PLO,3,36,17.7068125374
CCH,3,66,11.3579506988
PAU,3,97,22.4943105102
PRR,3,83,39.6242344724
RJT,3,99,34.0261250374
RJU,3,2,1.66666666667
RNG,3,79,65.1915442216
SNT,3,76,21.2195210814
SRPR,3,14,1.119492138
SSM,3,83,140.436494757
STA,3,163,71.9846201045
SOJN,3,34,4.49985298699
STN,3,40,62.884238842
SUNR,3,99,39.2332409128
TAE,3,5,13.6698956034
TATA,3,145,47.6468798623
TIG,3,75,32.7802339908
TORI,3,32,132.928108158
TMR,3,51,26.2474655123
UDN,3,55,37.0937675045
VDA,3,30,7.67799849188
VKB,3,60,17.1130209822
WR,3,83,37.8710945747
ADRA,4,107,24.7088340639
AGC,4,187,88.6207958942
AK,4,133,34.4125321638
ALY,4,36,98.6538999658
ASR,4,146,106.579707109
ANND,4,235,26.1762337282
AJJ,4,219,19.412201591
ASN,4,282,83.84676243
ARJ,4,74,110.760038516
